"Month","Year","Consumer Confidence Index TX","Consumer Confidence Index US","Existing Single Family Home Sales TX","Existing Single Family Home Price TX","Year Avgs","Home Sales Avg","Home Price Avg","CCI AVG"
11,2013,113.2,72,19672,169900,,,,
12,2013,110,77.5,21467,174000,,,,
1,2014,104.509,79.41,15847,163000,,,,
2,2014,111.777,78.301,18540,172500,,,,
3,2014,108.685,83.861,23212,176300,,,,
4,2014,120.1,81.7,25472,179000,,,,
5,2014,131.2,82.2,28856,185000,,,,
6,2014,113.1,85.2,30343,190500,,,,
7,2014,117.155,90.333,30070,189000,,,,
8,2014,121.4,93.4,29086,187000,,,,
9,2014,121.8,89,25638,183000,,,,
10,2014,128.4,94.1,25608,180000,,,,
11,2014,119.8,91,20081,182975,,,,
12,2014,119.4,93.1,24320,189900,,,,
1,2015,116.6,103.8,16335,177706,,,,
2,2015,121.4,98.8,18745,185000,,,,
3,2015,127.1,101.4,25486,189850,,,,
4,2015,121.4,94.3,26466,193500,,,,
5,2015,130.7,94.6,28835,202000,,,,
6,2015,130.6,99.8,32270,206000,,,,
7,2015,110.2,91,33103,202000,,,,
8,2015,108.9,101.3,30362,2e+05,,,,
9,2015,118.9,102.6,27622,195000,,,,
10,2015,115.5,99.1,24922,190000,,,,
2,2017,,,,,,,,
1,2017,133,111.8,,,,,,
8,2016,107.5,101.8,32633,215000,,,,
9,2016,115.4,103.5,28319,210000,,,,
7,2016,103.3,96.7,30132,215850,,,,
11,2015,105.7,92.6,19743,192000,,,,
12,2016,138.7,113.7,26120,216000,,,,
10,2016,116.7,100.8,25305,209900,,,,
11,2016,124.5,109.4,23885,214900,,,,
6,2016,105.7,97.4,33158,220000,,,,
5,2016,120.2,92.4,30730,215000,,,,
4,2016,103.8,94.7,27772,205900,,,,
3,2016,96.8,96.1,27296,201500,,,,
2,2016,106,94,20568,194994,,,,
1,2016,120.4,97.8,17245,189000,,,,
12,2015,101.1,96.3,25742,2e+05,,,,
